timestamp,aqi_value,category,parameter,reporting_area,state_code,latitude,longitude
2026-03-23,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-23,31,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-24,40,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-24,31,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-25,47,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-25,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-26,62,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-26,71,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-27,35,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-27,39,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-28,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-28,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-29,44,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-29,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-30,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-30,46,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-31,46,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-31,60,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-01,48,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-01,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-02,31,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-02,28,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-03,28,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-03,54,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-04,36,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-04,56,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-05,32,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-05,40,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-06,23,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-06,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-07,42,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-07,31,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-08,42,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-08,27,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-09,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-09,39,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-10,38,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-10,58,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-11,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-11,32,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-12,34,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-12,44,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-13,49,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-13,59,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-14,61,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-14,55,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-15,51,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-15,53,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-16,80,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-16,65,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-17,36,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-17,46,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-18,36,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-18,32,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-19,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-19,24,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-20,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-20,26,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-21,44,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-21,28,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-22,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-22,43,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-23,51,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-23,58,Moderate,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-24,32,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-24,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-25,37,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-25,27,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-26,45,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-26,23,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-27,47,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-27,27,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-04-28,38,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-04-28,25,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
