timestamp,complaint_count,complaint_ids
2026-02-18 18:00:00,26,"68036860,68029327,68035535,68034340,68035557"
2026-02-18 19:00:00,14,"68033078,68034401,68038089,68038093,68036789"
2026-02-18 20:00:00,23,"68029405,68030604,68038094,68035617,68029334"
2026-02-18 21:00:00,8,"68031934,68038082,68038170,68030610,68035623"
2026-02-18 22:00:00,16,"68038076,68034405,68035548,68033153,68031850"
2026-02-18 23:00:00,6,"68036804,68031933,68030603,68033085,68036894"
2026-02-19 00:00:00,4,"68029339,68036784,68031947,68033151"
2026-02-19 01:00:00,2,"68038160,68038169"
2026-02-19 02:00:00,3,"68050154,68039529,68048737"
2026-02-19 03:00:00,3,"68048637,68039494,68047176"
2026-02-19 04:00:00,3,"68041087,68044187,68048666"
2026-02-19 05:00:00,5,"68045660,68041025,68044061,68041078,68050153"
2026-02-19 06:00:00,12,"68039524,68045537,68050125,68039492,68040993"
2026-02-19 07:00:00,40,"68041013,68041014,68042545,68042573,68044175"
2026-02-19 08:00:00,45,"68045659,68039504,68050196,68039499,68039609"
2026-02-19 09:00:00,51,"68039515,68039521,68039522,68039527,68042641"
2026-02-19 10:00:00,50,"68039503,68039511,68039526,68041011,68042649"
2026-02-19 11:00:00,30,"68042547,68042555,68042642,68044129,68044170"
2026-02-19 12:00:00,44,"68039535,68041115,68044160,68047219,68048634"
2026-02-19 13:00:00,39,"68039523,68039532,68039614,68042532,68042614"
2026-02-19 14:00:00,43,"68039493,68039530,68041002,68041000,68041022"
2026-02-19 15:00:00,32,"68039601,68041024,68042656,68044069,68044166"
2026-02-19 16:00:00,37,"68039500,68039508,68039516,68042531,68042640"
2026-02-19 17:00:00,29,"68039512,68042543,68045548,68048729,68039531"
2026-02-19 18:00:00,28,"68039525,68039621,68045564,68045566,68045609"
2026-02-19 19:00:00,13,"68039496,68041004,68044050,68044066,68047231"
2026-02-19 20:00:00,16,"68042657,68044065,68047124,68047234,68048642"
2026-02-19 21:00:00,18,"68039498,68041012,68042538,68042572,68042574"
2026-02-19 22:00:00,7,"68045540,68045662,68050114,68050136,68050230"
2026-02-19 23:00:00,8,"68044060,68041110,68044097,68041010,68050112"
2026-02-20 01:00:00,1,68050106
2026-02-20 02:00:00,3,"68057192,68058537,68054310"
2026-02-20 03:00:00,2,"68052920,68054317"
2026-02-20 04:00:00,3,"68058495,68052958,68052919"
2026-02-20 05:00:00,2,"68057197,68054402"
2026-02-20 06:00:00,8,"68051575,68052883,68054337,68061285,68051595"
2026-02-20 07:00:00,18,"68051594,68052884,68054334,68054404,68058440"
2026-02-20 08:00:00,29,"68054302,68054304,68054306,68054335,68057096"
2026-02-20 09:00:00,22,"68059940,68052882,68057160,68058523,68059870"
2026-02-20 10:00:00,24,"68051605,68051528,68051533,68052881,68052904"
2026-02-20 11:00:00,28,"68052978,68051530,68054301,68055692,68055689"
2026-02-20 12:00:00,20,"68051592,68054313,68051529,68052890,68058493"
2026-02-20 13:00:00,26,"68054403,68058475,68059868,68054366,68057187"
2026-02-20 14:00:00,30,"68061303,68051526,68052961,68055685,68055696"
2026-02-20 15:00:00,21,"68054395,68052880,68055712,68057177,68057186"
2026-02-20 16:00:00,18,"68052959,68052902,68052941,68051598,68061373"
2026-02-20 17:00:00,16,"68054300,68052895,68055705,68061342,68052957"
2026-02-20 18:00:00,19,"68058522,68059948,68051535,68055698,68055710"
2026-02-20 19:00:00,8,"68051534,68061294,68057108,68057114,68059878"
2026-02-20 20:00:00,21,"68052967,68052973,68052896,68052974,68054322"
2026-02-20 21:00:00,7,"68051607,68052889,68052969,68054398,68051600"
2026-02-20 22:00:00,4,"68055789,68052979,68058526,68057196"
2026-02-20 23:00:00,6,"68057179,68051532,68061307,68061320,68052891"
2026-02-21 00:00:00,7,"68055783,68051538,68051539,68052894,68057097"
2026-02-21 02:00:00,7,"68069993,68062610,68065007,68068738,68070019"
2026-02-21 03:00:00,1,68063753
2026-02-21 05:00:00,6,"68071140,68063752,68071205,68064965,68071147"
2026-02-21 06:00:00,6,"68071182,68068694,68067542,68071122,68067562"
2026-02-21 07:00:00,11,"68067481,68071216,68071223,68062537,68063749"
2026-02-21 08:00:00,17,"68063777,68071135,68067487,68062539,68063838"
2026-02-21 09:00:00,26,"68068786,68065005,68066216,68067557,68069947"
2026-02-21 10:00:00,32,"68063870,68067495,68070015,68065045,68066164"
2026-02-21 11:00:00,35,"68063771,68071227,68063762,68063774,68066182"
2026-02-21 12:00:00,33,"68065035,68066185,68070033,68071233,68068787"
2026-02-21 13:00:00,44,"68063770,68063857,68071222,68071128,68062543"
2026-02-21 14:00:00,29,"68063764,68067493,68070016,68071149,68064949"
2026-02-21 15:00:00,34,"68062562,68062597,68063772,68068782,68062553"
2026-02-21 16:00:00,19,"68068785,68071217,68064963,68066175,68067524"
2026-02-21 17:00:00,18,"68070013,68070014,68064962,68067486,68067496"
2026-02-21 18:00:00,5,"68067482,68068696,68071145,68065039,68063859"
2026-02-21 19:00:00,14,"68067556,68062546,68066190,68071132,68071224"
2026-02-21 20:00:00,4,"68068779,68071146,68071127,68066188"
2026-02-21 21:00:00,6,"68062630,68066178,68070017,68071139,68071131"
2026-02-21 22:00:00,7,"68064960,68065032,68068693,68069943,68068781"
2026-02-21 23:00:00,5,"68067566,68063778,68064967,68066183,68067567"
2026-02-22 00:00:00,2,"68066274,68065043"
2026-02-22 02:00:00,2,"68072272,68075494"
2026-02-22 03:00:00,4,"68072311,68075475,68074398,68072313"
2026-02-22 04:00:00,2,"68072310,68079791"
2026-02-22 05:00:00,3,"68078716,68072286,68075438"
2026-02-22 06:00:00,3,"68072287,68078760,68074402"
2026-02-22 07:00:00,6,"68078735,68078746,68073355,68074405,68079784"
2026-02-22 08:00:00,6,"68076512,68079787,68075474,68078713,68079831"
2026-02-22 09:00:00,19,"68078718,68078717,68078720,68079790,68073315"
2026-02-22 10:00:00,30,"68075444,68073368,68079788,68075490,68076514"
2026-02-22 11:00:00,22,"68073370,68076563,68077664,68072268,68073317"
2026-02-22 12:00:00,15,"68075441,68078719,68075443,68077629,68073314"
2026-02-22 13:00:00,13,"68073324,68078723,68073326,68078722,68077630"
2026-02-22 14:00:00,5,"68076532,68075439,68079830,68075486,68076516"
2026-02-22 15:00:00,5,"68075476,68073369,68072299,68075473,68078751"
2026-02-22 16:00:00,10,"68073327,68076509,68078721,68075489,68076502"
2026-02-22 17:00:00,6,"68075442,68072273,68077673,68073366,68076391"
2026-02-22 18:00:00,4,"68076513,68078724,68079833,68074416"
2026-02-22 19:00:00,3,"68072312,68078734,68073320"
